grade,restaurant_A,restaurant_B,restaurant_C,restaurant_D,restaurant_E,restaurant_F,restaurant_G,restaurant_H,restaurant_I,restaurant_J,restaurant_K,restaurant_L,restaurant_M,restaurant_N,restaurant_O,restaurant_P,restaurant_Q,restaurant_R
freshman,5,3,2,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3
freshman,5,3,3,2,5,3,5,5,3,3,4,3,3,4,4,3,3,5
freshman,3,4,3,3,5,3,5,3,3,3,4,4,3,2,3,3,3,5
freshman,5,3,3,3,4,3,5,3,4,3,5,3,2,2,3,3,4,3
freshman,4,4,4,3,5,3,3,3,3,3,3,3,3,4,3,3,3,5
freshman,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3
freshman,3,3,3,3,5,3,3,3,3,3,3,5,3,1,5,3,3,3
freshman,4,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3
freshman,3,3,4,4,4,3,4,3,3,3,3,4,3,3,3,4,3,4
freshman,3,3,4,4,5,3,5,4,5,3,2,4,4,3,3,4,3,4
freshman,4,3,3,3,4,3,4,4,3,3,4,3,3,2,3,3,3,4
freshman,3,2,5,4,3,4,1,2,2,5,3,5,5,5,4,4,4,4
freshman,4,3,3,3,3,3,5,3,3,4,4,4,3,4,3,3,3,3
freshman,3,3,4,3,4,3,3,3,2,3,4,3,3,3,3,3,3,3
freshman,4,3,3,4,5,3,5,4,3,3,4,5,4,4,3,3,3,4
freshman,2,3,3,3,3,3,5,3,3,3,2,2,1,3,4,3,3,3
freshman,2,3,3,3,5,3,3,3,1,3,4,4,2,2,5,3,3,3
freshman,4,4,4,4,4,4,4,4,4,4,5,4,5,5,3,3,3,3
freshman,5,3,3,3,4,3,5,3,3,3,3,3,3,4,3,3,3,3
freshman,5,3,3,3,5,,3,3,5,3,2,5,3,5,3,3,3,3
freshman,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,3,3,4
freshman,3,1,3,2,4,3,5,5,2,2,5,5,2,4,5,3,3,3
freshman,4,5,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3,3
freshman,4,3,3,4,3,3,3,4,3,3,3,4,3,4,3,3,3,3
freshman,3,3,3,3,4,3,5,2,3,3,4,3,3,3,4,3,3,5
freshman,3,3,3,5,5,3,4,3,4,3,3,4,5,4,3,3,3,4
freshman,3,2,3,3,4,3,3,3,3,3,3,2,3,3,4,4,3,3
freshman,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
freshman,5,3,4,3,5,3,3,3,5,5,5,4,4,2,3,3,3,4
freshman,4,3,3,3,3,3,4,5,3,4,5,3,3,4,4,3,3,3
freshman,5,4,5,4,5,3,5,4,4,3,5,3,3,3,5,3,4,5
freshman,4,3,4,3,4,3,5,3,3,3,3,1,3,4,3,3,4,5
freshman,2,3,3,3,3,3,4,4,3,3,3,5,4,3,3,4,3,4
freshman,3,3,3,3,4,3,5,3,2,3,5,4,3,1,3,3,3,3
freshman,3,3,3,3,4,3,3,3,3,3,3,2,3,3,4,5,3,4
freshman,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
freshman,3,3,4,3,4,3,5,3,3,3,2,2,3,3,5,3,3,5
freshman,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3
freshman,1,3,3,3,2,3,3,1,3,3,3,3,3,2,3,3,3,3
freshman,3,3,3,3,3,5,5,3,3,3,5,3,2,5,5,3,3,5
freshman,3,3,5,4,4,3,3,3,4,5,3,5,3,2,5,3,3,4
freshman,4,4,4,3,4,3,5,4,3,3,3,4,3,1,4,4,3,4
freshman,4,4,4,4,2,3,4,2,2,5,4,3,2,2,4,4,3,3
freshman,5,5,4,3,3,3,5,4,4,4,4,3,4,3,5,5,3,4
